edgeid,source,target,date,value,type
1,6,186.0,2020/5/1,1.0,Directed
2,578,6.0,2020/5/1,1.0,Directed
3,816,85.0,2020/5/1,1.0,Directed
4,816,101.0,2020/5/1,1.0,Directed
5,816,186.0,2020/5/1,1.0,Directed
6,816,372.0,2020/5/1,1.0,Directed
7,816,659.0,2020/5/1,1.0,Directed
8,818,85.0,2020/5/1,1.0,Directed
9,818,101.0,2020/5/1,1.0,Directed
10,818,456.0,2020/5/1,1.0,Directed
11,578,85.0,2020/5/1,1.0,Directed
12,90,6.0,2020/5/1,1.0,Directed
13,90,315.0,2020/5/1,1.0,Directed
14,90,85.0,2020/5/1,1.0,Directed
15,90,101.0,2020/5/1,1.0,Directed
16,90,177.0,2020/5/1,1.0,Directed
17,90,186.0,2020/5/1,1.0,Directed
18,90,321.0,2020/5/1,1.0,Directed
19,90,372.0,2020/5/1,1.0,Directed
20,90,435.0,2020/5/1,1.0,Directed
21,90,456.0,2020/5/1,1.0,Directed
22,90,461.0,2020/5/1,1.0,Directed
23,90,542.0,2020/5/1,1.0,Directed
24,90,659.0,2020/5/1,1.0,Directed
25,90,578.0,2020/5/1,1.0,Directed
26,186,219.0,2020/5/1,1.0,Directed
27,289,84.0,2020/5/1,1.0,Directed
28,289,436.0,2020/5/1,1.0,Directed
29,289,590.0,2020/5/1,1.0,Directed
30,289,118.0,2020/5/1,1.0,Directed
31,315,6.0,2020/5/1,1.0,Directed
32,315,372.0,2020/5/1,1.0,Directed
33,315,456.0,2020/5/1,1.0,Directed
34,315,461.0,2020/5/1,1.0,Directed
35,315,659.0,2020/5/1,1.0,Directed
36,315,219.0,2020/5/1,1.0,Directed
37,315,288.0,2020/5/1,1.0,Directed
38,321,329.0,2020/5/1,1.0,Directed
39,321,377.0,2020/5/1,1.0,Directed
40,329,289.0,2020/5/1,1.0,Directed
41,329,118.0,2020/5/1,1.0,Directed
42,590,436.0,2020/5/1,1.0,Directed
