nodeid,,nodetype,age,gender,marrige,withkids,student,workstatue,residentinneighbor,educationlevel,eventtopic,spacefunction,date
680,,Media Content,,,,,,,,,Environment And Sustainability,,2/4/23
681,,Event,,,,,,,,,Community And Organization,,8/19/22
0,,Organization,,,,,,,,,Community And Organization,,7/24/21
1,,Organization,,,,,,,,,Community And Organization,,2/1/22
2,,Organization,,,,,,,,,Community And Organization,,8/8/21
3,,Organization,,,,,,,,,Community And Organization,,8/8/21
4,,Organization,,,,,,,,,Community And Organization,,7/30/21
5,,Organization,,,,,,,,,Community And Organization,,7/30/21
457,,Actors,55,Female,Yes,No,No,Employed,Yes,Highschool,,,5/1/20
1125,,Actors,55,Female,Yes,No,No,Employed,No,Graduate,,,6/18/23
518,,Actors,18-35,Male,No,No,No,Self-employed,No,Undergraduate,,,7/1/23
464,,Actors,18-35,Female,No,No,No,Self-employed,No,Graduate,,,10/1/20
1132,,Actors,35-55,Female,Yes,No,No,Employed,No,Graduate,,,6/1/21
11,,Organization,,,,,,,,,Environment And Sustainability,,10/1/20
12,,Organization,,,,,,,,,Culture And Arts,,1/4/21
967,,Actors,18-35,Female,No,No,No,Freelancer,No,Undergraduate,,,5/20/22
752,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,5/16/21
573,,Actors,18-35,Female,No,No,No,Self-employed,No,Graduate,,,8/1/21
931,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,10/1/23
1012,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,11/7/23
18,,Organization,,,,,,,,,Environment And Sustainability,,7/1/21
729,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,1/30/21
469,,Actors,35-55,Male,No,No,No,Freelancer,No,Graduate,,,6/1/21
611,,Actors,35-55,Male,Yes,Yes,No,Self-employed,No,Graduate,,,12/1/20
22,,Organization,,,,,,,,,Environment And Sustainability,,10/15/22
1127,,Actors,35-55,Male,Yes,No,No,Employed,No,Graduate,,,5/20/23
217,,Actors,18-35,Male,No,No,No,Freelancer,No,Graduate,,,9/26/21
335,,Actors,18-35,Male,No,No,Yes,Self-employed,No,Undergraduate,,,11/1/20
858,,Actors,18-35,Male,No,No,No,Freelancer,Yes,Graduate,,,8/14/21
539,,Actors,35-55,Male,Yes,Yes,No,Self-employed,No,Undergraduate,,,9/1/21
28,,Organization,,,,,,,,,Culture And Arts,,9/25/23
29,,Organization,,,,,,,,,Environment And Sustainability,,5/17/21
682,,Event,,,,,,,,,Environment And Sustainability,,10/6/23
30,,Organization,,,,,,,,,Environment And Sustainability,,9/25/23
154,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,11/1/21
453,,Actors,35-55,Male,Yes,No,No,Employed,Yes,Undergraduate,,,8/1/20
373,,Actors,18-35,Male,No,No,No,Employed,Yes,Graduate,,,3/2/21
683,,Event,,,,,,,,,Culture And Arts,,11/11/23
1087,,Actors,35-55,Female,Yes,No,No,Employed,No,Graduate,,,11/26/22
35,,Organization,,,,,,,,,Technology And Education,,11/1/22
36,,Organization,,,,,,,,,Technology And Education,,7/15/22
575,,Actors,18-35,Female,No,No,No,Self-employed,No,Undergraduate,,,10/24/22
684,,Event,,,,,,,,,Lifestyle And Health,,3/4/23
685,,Event,,,,,,,,,Lifestyle And Health,,4/15/23
686,,Event,,,,,,,,,Lifestyle And Health,,6/24/23
49,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,11/24/21
39,,Organization,,,,,,,,,Technology And Education,,5/1/22
470,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,7/1/21
41,,Organization,,,,,,,,,Culture And Arts,,6/20/22
42,,Organization,,,,,,,,,Technology And Education,,2/1/23
687,,Event,,,,,,,,,Culture And Arts,,6/21/20
688,,Event,,,,,,,,,Environment And Sustainability,,7/3/20
689,,Event,,,,,,,,,Environment And Sustainability,,7/12/20
690,,Event,,,,,,,,,Lifestyle And Health,,7/17/20
691,,Event,,,,,,,,,Environment And Sustainability,,7/18/20
692,,Event,,,,,,,,,Environment And Sustainability,,7/25/20
693,,Event,,,,,,,,,Lifestyle And Health,,7/31/20
694,,Event,,,,,,,,,Culture And Arts,,8/15/20
695,,Event,,,,,,,,,Culture And Arts,,8/22/20
696,,Event,,,,,,,,,Lifestyle And Health,,8/25/20
697,,Event,,,,,,,,,Technology And Education,,8/30/20
698,,Event,,,,,,,,,Technology And Education,,9/6/20
699,,Event,,,,,,,,,Lifestyle And Health,,9/7/20
700,,Event,,,,,,,,,Technology And Education,,9/19/20
701,,Event,,,,,,,,,Environment And Sustainability,,9/20/20
702,,Event,,,,,,,,,Community And Organization,,9/26/20
703,,Event,,,,,,,,,Culture And Arts,,9/1/20
704,,Event,,,,,,,,,Technology And Education,,10/7/20
705,,Event,,,,,,,,,Lifestyle And Health,,10/24/20
706,,Event,,,,,,,,,Culture And Arts,,10/31/20
707,,Event,,,,,,,,,Lifestyle And Health,,11/1/20
708,,Event,,,,,,,,,Lifestyle And Health,,11/4/20
709,,Event,,,,,,,,,Culture And Arts,,11/7/20
710,,Event,,,,,,,,,Lifestyle And Health,,11/21/20
711,,Event,,,,,,,,,Culture And Arts,,11/22/20
712,,Event,,,,,,,,,Technology And Education,,11/23/20
713,,Event,,,,,,,,,Technology And Education,,11/24/20
714,,Event,,,,,,,,,Culture And Arts,,11/29/20
715,,Event,,,,,,,,,Lifestyle And Health,,11/29/20
716,,Event,,,,,,,,,Lifestyle And Health,,12/5/20
717,,Event,,,,,,,,,Culture And Arts,,12/12/20
718,,Event,,,,,,,,,Environment And Sustainability,,8/11/20
719,,Event,,,,,,,,,Environment And Sustainability,,12/17/20
720,,Event,,,,,,,,,Culture And Arts,,12/18/20
721,,Event,,,,,,,,,Lifestyle And Health,,12/27/20
722,,Event,,,,,,,,,Culture And Arts,,12/27/20
723,,Event,,,,,,,,,Culture And Arts,,1/3/21
724,,Event,,,,,,,,,Technology And Education,,1/15/21
725,,Event,,,,,,,,,Culture And Arts,,1/16/21
726,,Event,,,,,,,,,Culture And Arts,,1/17/21
727,,Event,,,,,,,,,Lifestyle And Health,,1/17/21
728,,Event,,,,,,,,,Environment And Sustainability,,1/23/21
729,,Event,,,,,,,,,Environment And Sustainability,,1/30/21
730,,Event,,,,,,,,,Lifestyle And Health,,2/16/21
731,,Event,,,,,,,,,Lifestyle And Health,,2/17/21
732,,Event,,,,,,,,,Lifestyle And Health,,2/18/21
733,,Event,,,,,,,,,Technology And Education,,2/28/21
734,,Event,,,,,,,,,Technology And Education,,3/7/21
735,,Event,,,,,,,,,Environment And Sustainability,,3/13/21
736,,Event,,,,,,,,,Environment And Sustainability,,3/20/21
737,,Event,,,,,,,,,Technology And Education,,3/21/21
738,,Event,,,,,,,,,Environment And Sustainability,,3/27/21
739,,Event,,,,,,,,,Lifestyle And Health,,3/28/21
740,,Event,,,,,,,,,Technology And Education,,4/3/21
741,,Event,,,,,,,,,Technology And Education,,4/8/21
742,,Event,,,,,,,,,Environment And Sustainability,,4/10/21
743,,Event,,,,,,,,,Environment And Sustainability,,4/11/21
744,,Event,,,,,,,,,Environment And Sustainability,,4/17/21
745,,Event,,,,,,,,,Environment And Sustainability,,4/18/21
746,,Event,,,,,,,,,Lifestyle And Health,,4/23/21
747,,Event,,,,,,,,,Environment And Sustainability,,4/24/21
748,,Event,,,,,,,,,Lifestyle And Health,,5/3/21
749,,Event,,,,,,,,,Culture And Arts,,5/5/21
750,,Event,,,,,,,,,Environment And Sustainability,,5/17/21
751,,Event,,,,,,,,,Lifestyle And Health,,5/9/21
752,,Event,,,,,,,,,Technology And Education,,5/16/21
753,,Event,,,,,,,,,Technology And Education,,5/23/21
754,,Event,,,,,,,,,Environment And Sustainability,,6/2/21
755,,Event,,,,,,,,,Environment And Sustainability,,6/12/21
756,,Event,,,,,,,,,Environment And Sustainability,,6/12/21
757,,Event,,,,,,,,,Technology And Education,,6/20/21
758,,Event,,,,,,,,,Technology And Education,,6/27/21
759,,Event,,,,,,,,,Environment And Sustainability,,7/10/21
760,,Event,,,,,,,,,Environment And Sustainability,,3/1/21
761,,Event,,,,,,,,,Culture And Arts,,7/17/21
762,,Event,,,,,,,,,Environment And Sustainability,,7/18/21
763,,Event,,,,,,,,,Environment And Sustainability,,8/14/21
764,,Event,,,,,,,,,Lifestyle And Health,,8/28/21
765,,Event,,,,,,,,,Environment And Sustainability,,8/29/21
766,,Event,,,,,,,,,Environment And Sustainability,,9/11/21
767,,Event,,,,,,,,,Culture And Arts,,3/2/21
768,,Event,,,,,,,,,Environment And Sustainability,,8/1/20
769,,Event,,,,,,,,,Environment And Sustainability,,10/3/21
770,,Event,,,,,,,,,Environment And Sustainability,,10/5/21
771,,Event,,,,,,,,,Technology And Education,,10/6/21
772,,Event,,,,,,,,,Culture And Arts,,10/15/21
773,,Event,,,,,,,,,Culture And Arts,,10/15/21
774,,Event,,,,,,,,,Environment And Sustainability,,3/2/21
775,,Event,,,,,,,,,Technology And Education,,10/16/21
776,,Event,,,,,,,,,Community And Organization,,10/17/21
777,,Event,,,,,,,,,Culture And Arts,,10/21/21
778,,Event,,,,,,,,,Culture And Arts,,10/28/21
779,,Event,,,,,,,,,Culture And Arts,,11/5/21
780,,Event,,,,,,,,,Environment And Sustainability,,5/17/21
781,,Event,,,,,,,,,Environment And Sustainability,,11/7/21
782,,Event,,,,,,,,,Culture And Arts,,11/11/21
783,,Event,,,,,,,,,Environment And Sustainability,,11/13/21
784,,Event,,,,,,,,,Environment And Sustainability,,11/14/21
785,,Event,,,,,,,,,Culture And Arts,,11/14/21
786,,Event,,,,,,,,,Culture And Arts,,11/19/21
787,,Event,,,,,,,,,Technology And Education,,11/20/21
788,,Event,,,,,,,,,Culture And Arts,,11/26/21
789,,Event,,,,,,,,,Environment And Sustainability,,11/27/21
790,,Event,,,,,,,,,Environment And Sustainability,,3/2/21
791,,Event,,,,,,,,,Culture And Arts,,12/16/21
792,,Event,,,,,,,,,Culture And Arts,,12/23/21
793,,Event,,,,,,,,,Culture And Arts,,12/25/21
794,,Event,,,,,,,,,Culture And Arts,,12/30/21
603,,Actors,35-55,Male,Yes,No,No,Self-employed,No,Graduate,,,2/7/22
795,,Event,,,,,,,,,Technology And Education,,2/13/22
796,,Event,,,,,,,,,Environment And Sustainability,,2/20/22
797,,Event,,,,,,,,,Environment And Sustainability,,2/26/22
798,,Event,,,,,,,,,Lifestyle And Health,,2/26/22
799,,Event,,,,,,,,,Culture And Arts,,3/5/22
800,,Event,,,,,,,,,Lifestyle And Health,,4/20/22
801,,Event,,,,,,,,,Culture And Arts,,6/25/22
802,,Event,,,,,,,,,Culture And Arts,,6/25/22
803,,Event,,,,,,,,,Culture And Arts,,7/23/22
804,,Event,,,,,,,,,Culture And Arts,,8/27/22
538,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,7/29/21
673,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,8/1/20
409,,Actors,18-35,Male,No,No,Yes,Freelancer,Yes,Graduate,,,1/15/21
683,,Actors,18-35,Male,No,No,No,Self-employed,No,Undergraduate,,,11/11/23
896,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,7/27/22
794,,Actors,35-55,Female,No,No,No,Employed,No,Undergraduate,,,12/30/21
670,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,7/1/21
51,,Organization,,,,,,,,,Technology And Education,,9/21/22
52,,Organization,,,,,,,,,Lifestyle And Health,,8/22/21
53,,Organization,,,,,,,,,Community And Organization,,7/2/23
333,,Actors,18-35,Female,No,No,No,Employed,No,Graduate,,,10/1/21
805,,Short-term Project,,,,,,,,,Technology And Education,,11/14/23
1124,,Actors,35-55,Male,Yes,No,No,Employed,No,Graduate,,,5/20/23
902,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,11/2/22
57,,Organization,,,,,,,,,Technology And Education,,12/18/20
58,,Organization,,,,,,,,,Lifestyle And Health,,6/10/20
59,,Organization,,,,,,,,,Culture And Arts,,8/24/21
806,,Event,,,,,,,,,Environment And Sustainability,,4/15/23
719,,Actors,18-35,Female,No,No,No,Self-employed,No,Undergraduate,,,12/17/20
61,,Organization,,,,,,,,,Culture And Arts,,7/30/21
1086,,Actors,55,Male,Yes,No,No,Employed,No,Graduate,,,9/1/20
63,,Organization,,,,,,,,,Environment And Sustainability,,9/18/22
64,,Organization,,,,,,,,,Culture And Arts,,4/22/21
708,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,11/4/20
964,,Actors,18-35,Female,No,No,No,Self-employed,No,Undergraduate,,,4/19/22
863,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,9/6/21
77,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,4/25/23
745,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,4/18/21
387,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,7/26/23
529,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,7/1/21
929,,Actors,18-35,Female,No,No,No,Self-employed,No,Undergraduate,,,9/15/23
1128,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,5/20/23
565,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,7/2/23
657,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,7/1/20
519,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,9/19/21
1078,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,7/29/23
892,,Actors,18-35,Male,No,No,Yes,Employed,No,Graduate,,,6/15/22
804,,Actors,35-55,Male,Yes,Yes,No,Employed,No,Graduate,,,8/27/22
805,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,11/14/23
807,,Event,,,,,,,,,Technology And Education,,3/11/23
808,,Event,,,,,,,,,Environment And Sustainability,,8/1/20
809,,Long-term Project,,,,,,,,,Culture And Arts,,5/6/20
810,,Long-term Project,,,,,,,,,Technology And Education,,9/3/20
811,,Long-term Project,,,,,,,,,Environment And Sustainability,,9/1/20
812,,Long-term Project,,,,,,,,,Culture And Arts,,5/1/21
813,,Long-term Project,,,,,,,,,Culture And Arts,,7/10/21
814,,Long-term Project,,,,,,,,,Technology And Education,,6/16/22
815,,Long-term Project,,,,,,,,,Culture And Arts,,7/1/20
816,,Long-term Project,,,,,,,,,Environment And Sustainability,,8/11/20
817,,Long-term Project,,,,,,,,,Lifestyle And Health,,6/10/20
818,,Long-term Project,,,,,,,,,Lifestyle And Health,,8/25/20
819,,Long-term Project,,,,,,,,,Technology And Education,,5/31/21
820,,Long-term Project,,,,,,,,,Environment And Sustainability,,8/1/21
821,,Long-term Project,,,,,,,,,Environment And Sustainability,,7/1/20
822,,Long-term Project,,,,,,,,,Environment And Sustainability,,8/1/21
823,,Long-term Project,,,,,,,,,Environment And Sustainability,,7/1/20
824,,Long-term Project,,,,,,,,,Technology And Education,,8/1/21
825,,Long-term Project,,,,,,,,,Culture And Arts,,11/1/21
826,,Long-term Project,,,,,,,,,Culture And Arts,,12/1/21
80,,Organization,,,,,,,,,Community And Organization,,12/11/22
241,,Actors,18-35,Female,No,No,No,Freelancer,No,Graduate,,,6/10/22
870,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,10/25/22
198,,Actors,18-35,Female,No,No,No,Freelancer,No,Graduate,,,7/11/21
